Tabel Standar Tinggi Badan Menurut PB/U (3 -5 Tahun);;;;
Jenis Kelamin;Umur (Bulan);Minus 1 SD;Median;1 SD
L;36;92.4;96.1;99.8
L;37;93.0;96.7;100.5
L;38;93.6;97.4;101.2
L;39;94.2;98.0;101.8
L;40;94.7;98.6;102.5
L;41;95.3;99.2;103.2
L;42;95.9;99.9;103.8
L;43;96.4;100.4;104.5
L;44;97.0;101.0;105.1
L;45;97.5;101.6;105.7
L;46;98.1;102.2;106.3
L;47;98.6;102.8;106.9
L;48;99.1;103.3;107.5
L;49;99.7;103.9;108.1
L;50;100.2;104.4;108.7
L;51;100.7;105.0;109.3
L;52;101.2;105.6;109.9
L;53;101.7;106.1;110.5
L;54;102.3;106.7;111.1
L;55;102.8;107.2;111.7
L;56;103.3;107.8;112.3
L;57;103.8;108.3;112.8
L;58;104.3;108.9;113.4
L;59;104.8;109.4;114.0
L;60;105.3;110.0;114.6
P;36;91.2;95.1;98.9
P;37;91.9;95.7;99.6
P;38;92.5;96.4;100.3
P;39;93.1;97.1;101.0
P;40;93.8;97.7;101.7
P;41;94.4;98.4;102.4
P;42;95.0;99.0;103.1
P;43;95.6;99.7;103.8
P;44;96.2;100.3;104.5
P;45;96.7;100.9;105.1
P;46;97.3;101.5;105.8
P;47;97.9;102.1;106.4
P;48;98.4;102.7;107.0
P;49;99.0;103.3;107.7
P;50;99.5;103.9;108.3
P;51;100.1;104.5;108.9
P;52;100.6;105.0;109.5
P;53;101.1;105.6;110.1
P;54;101.6;106.2;110.7
P;55;102.2;106.7;111.3
P;56;102.7;107.3;111.9
P;57;103.2;107.8;112.5
P;58;103.7;108.4;113.0
P;59;104.2;108.9;113.6
P;60;104.7;109.4;114.2
